yelping_since,votes,review_count,name,user_id,friends,fans,average_stars,type,compliments,elite
2011-05,"{'funny': 0, 'useful': 4, 'cool': 3}",9,Randy,pv8cZW0MLnMMx536us7H4g,"['fZJLA1nj16Z3j73qVZYPBQ', 'uOm8NUuf2cJcx5DhBGON2g', 'vTfT0q8aVgxnAhCl-CtAvg', '4ar22MJ4ccVWcwAUe1exJA', 'OryXihSXu1xLugZT453izQ', 'o45s5rHj_s6aKFfVZXFePA', '8vd153rAZnGPP9qt2Q2Xqg', 'QAwWrE6LLbVHNtZOoDdRRw', '4Zk_SPnvJ8Ybdjwo4BOJ5A', 'FW5o1j_WytQAT6vGgs7tvg', 'vA4RFfvqaW_hZLvFaFaO7A', 'ZsjBAQiO5lNa_Tzlr3_FlQ', 'BXPbWtu4ydPvOYxXEsXnOA', '5fiC7aSgkqzGX7aN0JA3QQ']",1,4.889999999999999,user,{},[]
2011-02,"{'funny': 11, 'useful': 33, 'cool': 6}",32,Robert,QobN0Enl4AuZwLtdJatO3A,"['6Jb6ho3Zsu8EX4W7LdaPPg', 'M4r6qsHjYYKnvmsEH3UHwA', 'Ujdj1uDeHpBaxqgemt8T2A', 'mIJ4Dr8ukIJRM61yC73gVA', 'cKJC8GX_XhLk4it7Ka6a5g']",0,4.48,user,{},[]
2012-04,"{'funny': 0, 'useful': 1, 'cool': 1}",6,Terri,TLweDQj83Wgjy-6LaQO_Eg,[],0,4.83,user,{},[]
2011-08,"{'funny': 13, 'useful': 30, 'cool': 16}",39,Corrisa,Ht43WIt1vNIaodW-u8Xxng,"['oFhtzLhXS1iENWoBMdWk4w', 'lC0KGXmIhyjzghBUlVnkhQ', '6MYEMoBDkhNj76KA_hzEyw', 'omOnbJjKaJUkvYi3reIB9w', 'QitASEvQNS_5z2J4vzmb1A', 'g4pZ9IwNKrsKVNyW219zJA', 'T-rg4SJ0wlc6z1yQbB8nbA']",0,3.95,user,"{'funny': 1, 'hot': 2, 'writer': 2, 'cool': 2}",[]
2013-03,"{'funny': 0, 'useful': 0, 'cool': 0}",1,Shelley,ffIoEOVQnohjBk9UVaiNmA,"['Yv43E2r6QqeczW-FhAd3Qg', 'ClptG3R38wR_xM9XVR-bEA']",0,1.0,user,{'note': 1},[]
2014-01,"{'funny': 0, 'useful': 0, 'cool': 0}",2,Marci,0KiBNouJBoXXPXMB0vPIAQ,[],0,5.0,user,{},[]
2014-05,"{'funny': 0, 'useful': 0, 'cool': 0}",1,Agla,bWsb1i5RNwu1jd42VmQcMQ,"['B8TJ-kcDfuzxwr1cGEe88g', '0xyoGnryooybdM2cAvttIA', 'OhN2g1nWEic8j3fZiQKubQ', 'EK9Ktwm3ZL1ACmuJznrhiw', 'VJ2He4RneUebfTyv7eGxwQ']",0,5.0,user,{},[]
2013-05,"{'funny': 3, 'useful': 11, 'cool': 4}",16,Ryan,Yabu2TPqcjXAZ-To56L8aA,[],0,4.379999999999999,user,{'writer': 1},[]
2012-06,"{'funny': 2, 'useful': 5, 'cool': 2}",3,Natalie,yOh1r0-T_Zrvk0C4oDF0hA,[],0,5.0,user,{'plain': 1},[]
2010-02,"{'funny': 7, 'useful': 22, 'cool': 1}",19,Michael,Ng1WgZYKGHRxnWmRaGaoDQ,[],0,4.059999999999999,user,"{'funny': 1, 'writer': 2, 'plain': 1}",[]
2010-08,"{'funny': 0, 'useful': 0, 'cool': 0}",3,Maggie,iEBq42udCmpGrue1KHlDBA,"['zosu0NQxEeVOUgo25afoug', '2HSgtnq66GhAzR7bnXStbw']",0,4.33,user,{},[]
2011-04,"{'funny': 0, 'useful': 7, 'cool': 1}",5,Jasmyn,f6mGvf4s9JDdWOEtRFF4bg,[],0,4.0,user,{},[]
2014-01,"{'funny': 2, 'useful': 6, 'cool': 2}",24,Nancy,pWw2nrwXPunvjv9FvBhwcg,[],0,3.74,user,{},[]
2009-09,"{'funny': 12, 'useful': 60, 'cool': 15}",34,Caitlyn,ClItHsk05vOKhg4O3DtMqw,"['JMX6jmgR53yfU5NjA0kgQw', 'MUHoBFzwRoXpCpgYSN8KRA', 'snd45oedwXxF9tsHUX_6dg', '90a6z--_CUrl84aCzZyPsg', 'bBMKWwfCyEbeU-A1epCX4Q', 'nMoS5CJV16bnLvFURC5M0A', 'Wv7xwgjpQPLDh-PwS4Gn-Q', 'ELUPgm7DvQP3vvv0-S3Vrg', 'CaPb63yGMZM_jyBTn_PM9A']",4,3.89,user,"{'plain': 3, 'writer': 3, 'note': 2, 'hot': 1, 'cool': 4, 'more': 1}",[]
2013-04,"{'funny': 0, 'useful': 0, 'cool': 0}",1,Stephanie,5y_7ZHvZNuGHJYRLD9xf8A,[],0,5.0,user,{},[]
2008-04,"{'funny': 1, 'useful': 7, 'cool': 4}",21,Rebecca,L8Uyq-739_ot3pjiyj7O1Q,[],0,3.43,user,{},[]
2011-05,"{'funny': 0, 'useful': 1, 'cool': 0}",2,Pat,hgF15UN_3Tgz56RdCbnT1g,[],0,2.0,user,{},[]
2011-09,"{'funny': 0, 'useful': 2, 'cool': 0}",3,Brian,htV_9TimKYnODwDLmr4KOA,[],0,1.33,user,{},[]
2010-08,"{'funny': 2, 'useful': 12, 'cool': 3}",9,Jose,YyxZs5Nei2TLWJVgkiv3-Q,['JCfHBL4zGkPjtKVd9hS_Bw'],1,4.0,user,{},[]
2012-09,"{'funny': 1, 'useful': 3, 'cool': 0}",2,Peter,OxyA0D_BbgLiPmBW87pDJg,"['MqFPl_dzpINizq7Tdt99cw', 'EHeRhD64t_7gmvjoX2izlA', '1noVqERUUdFh1iHVxPnllA', 'agOuqt4BQ2jw6SHiq0qXZQ', 'PPPyR9GyqE111horZJqfgw', 'pkCUdnb8gEtyAtV-tHy9tQ']",0,5.0,user,{},[]
2008-11,"{'funny': 3, 'useful': 10, 'cool': 2}",43,Audrey,Y7l-aWVXjF4tbDeKrdRqJA,"['O4T94w7ynMGh9zxfXZT79g', 'xXHY3w94sMnIFhAUHSaeHw', '7GDDd3M-9S0mVJu3gp7ccg', '3ZRyZbcSQgkHmWQFkHL_5Q', 'FaOd77CVoc5-le6Ao33ENg', 'diAB3RuaspOqWNNo6gXT7A']",2,4.139999999999999,user,{'hot': 1},[]
2012-11,"{'funny': 0, 'useful': 0, 'cool': 1}",1,James,aHTeZXwpX67uUh_YaLYYdw,[],0,5.0,user,{},[]
2010-07,"{'funny': 0, 'useful': 5, 'cool': 0}",3,Marty,jriSTTuZu5ZIkpDA_GsqVA,[],0,3.669999999999999,user,{},[]
2013-06,"{'funny': 0, 'useful': 0, 'cool': 0}",1,Rachel,53Ydu0UJgCtx8BLa63PTxQ,[],0,5.0,user,{},[]
2010-01,"{'funny': 8, 'useful': 17, 'cool': 4}",11,Jennifer,Zssm2syc4LPrjiDqrSjfmA,"['gnRL1NH5xhXZ1ivSPF2jgw', '1l8Y-f6IA3YW84oNXXiE_g', 'TxaotXMnWnjlM48VG-NOKg']",2,3.919999999999999,user,{},[]
2011-08,"{'funny': 1, 'useful': 4, 'cool': 0}",12,Deb,L2fXURMcevAAn_bCI3AF9A,[],0,3.0,user,{},[]
2013-06,"{'funny': 0, 'useful': 0, 'cool': 0}",1,Zanny,nJHCigmaHvxsB61iXJ4CeA,[],0,5.0,user,{},[]
2008-04,"{'funny': 20, 'useful': 72, 'cool': 25}",26,janette,B84_jVH5SYE9NZn25IjbdQ,"['fczQCSmaWF78toLEmb0Zsw', 'YoBgKOdfpGH48LpIDSfoQQ', '8JC-Yb3UDUv2FUl5ym1nVg', 'sEWeeq41k4ohBz4jS_iGRw', 'tdNV2Wb0LrFpm1Yfov_Klw', '5B5fyTX11NXiaf9HGeLCXQ', 'xZvRLPJ1ixhFVomkXSfXAw', 'd66FhQQZzFDKxklh6t63RA', 'HPwiegy6iyBYG87wjzn_yA', 'A6TcmiVp5GggMTwKWOnjNA', 'jkeFtzxYszRdJtahT_0rzQ']",0,3.46,user,"{'plain': 4, 'hot': 1, 'more': 1, 'cute': 1, 'cool': 1}",[]
2009-12,"{'funny': 6, 'useful': 23, 'cool': 1}",5,Chad,rh1s-Nzs6zJ2bcPyXa0T6Q,[],0,3.0,user,{},[]
2007-01,"{'funny': 52, 'useful': 193, 'cool': 104}",99,Lyd,a1WczdQDbTg5ly0EJUIN8g,"['zojEUtESP5mH7t4WcPzVKw', 'qbfQRHLvZk5WSkKY0l_lMw', 'RHbsUP8d9SigIs6RUpwauw', 'm6PdLs4FnQn4MHFd7i_wsg', 'WJQp0HmIW0lgA5Sowx3Xjw', 'Q6wwHCb-SawZ54xPa1NwSQ', '8J2iY9rwLmDq6K4HhrTtGA', 'AaZdXn0I6F5bdIVwGpxdDA', 'aEy1jCs0Z2qf9NOybRw2qg', 'O_NyL_7CWFOfYP4xqOkmhQ', '1F8RulRCjaQTN61TX9Hd7A', 'Qe3tvlCZ8ihlR2jpHMXI2A', 'v_Xev0TFiOwes80yt1_BgQ', 'MhkS25SDDSfAW4zHO-JZTg', '4WbO8vK0Ck3dZ91en_y3vA', 'nVNYxQIriBjN4vgD9Khjvg', 'dL03TTa7g1yElPmLbR1UmQ', 'yrcuHCD7V3gaI_kJjS7YxA', 'KMpj7TQf2gGFwpL-EK5c7g', '-sZMNn1bB0e5BxR7NrK09w', 'dq_lMnbEvEG-LciEQ8k3ag', 'BqeBRolsfkizRZDPbcBB6w', '7FD0HHI0hqKKUk6tQHeH1A', 'NT-qMS_lArbGaK8UK8f7yg', 'RDqGu_scxuiC1NDDO09icw', 'jmol4hQYZDCBd9ErHMICvA', 'tfHQ5hug0I2CNHuc-Zbkmw', 'JUOxsoGpPN2l2rBkbUkqMg', 'y-GB2vZDSdgZD9NK6VZ3pw', 'wkOmKgw7yfLEyJojZmK2iQ', 'A7q0D5K9DLN47e284rAYGg', 'pNBPy0eEZDNJHtxFHAlIVA', 'wqSdGJYVPq3gSEGuEGjKkA', 'AmJbyYrWVh3S1Q9O8qqc6A']",5,4.07,user,"{'funny': 9, 'plain': 11, 'writer': 3, 'note': 13, 'photos': 1, 'hot': 11, 'more': 8, 'cool': 6}","[2007, 2008, 2009]"
2014-05,"{'funny': 1, 'useful': 1, 'cool': 1}",4,Darrel,7wxsua4S3iQGf6EPNxY8Lg,"['WmAyExqSWoiYZ5XEqpk_Uw', 'EQXgqA7jGO81EoPImGFexQ', 'JYgBZXPocp2QuRRzPCmhWw', '1xpwA0IVcF1LS5fb_FXYSA']",0,4.33,user,"{'plain': 1, 'hot': 2}",[]
2012-03,"{'funny': 0, 'useful': 1, 'cool': 0}",4,Nancy,T8YBtgnyaCLp1z-od6HA1Q,[],0,4.0,user,{},[]
2010-06,"{'funny': 2, 'useful': 11, 'cool': 3}",12,Jason,sCh4B8FvNUE-BO1udkAG5w,['fMGAa_Cp4iVeFWNOFX0JzQ'],0,3.91,user,{'cool': 1},[]
2010-11,"{'funny': 10, 'useful': 75, 'cool': 9}",40,Shaun,8Wk82MIEcVW_VN9IVDe6Mw,"['J3NDKW-yjdDXkboig0hAHw', 'QnN5BJlM8ilI1RJxJELFDA', 'kZ1KR-aTB7pyo4kT_NGTZg', 'LxvAisEaKo5-fei0e5FI0g', 'eIuPcKYzRgYGRd-MxqBwQw', '12y_cM9K7iD-OdIuWhjAKg']",2,3.73,user,"{'hot': 1, 'more': 1}",[]
2008-08,"{'funny': 32, 'useful': 44, 'cool': 29}",22,Chad,G6_jz0IRsmAWKEEmBVewEA,"['3c1kWXi_m2znCYrlgoHLjA', 'UsULgP4bKA8RMzs8dQzcsA', 'tdNV2Wb0LrFpm1Yfov_Klw', 'a5kDCrf8lvX19EHrqPmAog', 'vRzrsYgocnYmzpKuw5TrxQ', '-Gu3ZZ8FLVxomzlQ98BIBQ', 'ZC5hRtbW1HHPH0lu-vu2mA']",2,4.259999999999999,user,"{'funny': 1, 'hot': 1, 'cool': 1, 'plain': 1}",[]
2012-02,"{'funny': 6, 'useful': 36, 'cool': 4}",19,Acti,uPFBq99_s0kdmFHiPhp_nA,[],0,3.549999999999999,user,{'note': 2},[]
