votes,user_id,review_id,stars,date,text,type,business_id
"{'funny': 0, 'useful': 0, 'cool': 0}",CZOn_zLUFM_KKqzM9MOiCg,I0vuNDYhrSHl4B_jenCYDA,3,2011-07-27,"This is my 2nd time within a week and both times were brief yet perfect. Because of it's location within the Nugget it's easily accessible and the sushi chefs are really fast. Old as the hills, but fast as hell.  The portions were nice, the service efficient and the price wasn't too ridiculous. a great way/place to get yo' grub on in short order.",review,81ytc4fGFBqkN3HtEon9qA
"{'funny': 0, 'useful': 0, 'cool': 0}",ezqi2BQEGgRvOkLqmrsjeg,4ER9ka5gVlPlU_pEyA6kCw,5,2014-06-13,"Delicious! When I'm craving a good ol American burger this is my favorite place....made to order,  fresh toppings of your choice,  Cajun fries are seasoned well and full of flavor (servings are plentiful-perfect for sharing) 
Oh and free shelled peanuts to munch on!
Always great service =)",review,Jlcx_J7DAqXthtsb_OMBEw
"{'funny': 0, 'useful': 1, 'cool': 0}",F7WoyGDah6KeDV-wRb9qCQ,Tg3GQf25qVCp3Kt93S57Gg,5,2013-05-12,"Went there today for dinner before a show. 

Fantastic! The food had amazing flavor, service was on point and the vibe of the place was great.",review,U0aLdc-PW44iiI4NzNCjZQ
"{'funny': 2, 'useful': 0, 'cool': 0}",V1U3IdZ9ZYcIzPcHAEKm2g,aDOpsuAO-O-RXy4FS-W4Vw,5,2008-06-24,"If it weren't for Genna's I wouldn't be happily married.
Love this bar, held my husbands 40th birthday here.
Love the Bunnies on Easter
Howard is the best bartender.
Great place to hang out for Halloween.
Reading the bathroom walls is always fun.",review,RgBq9TFI8q6-vCvF6wOMVg
"{'funny': 0, 'useful': 0, 'cool': 0}",YBKG3YQSDSqLs3ZZfq9TZw,_GtVyElKiOGD7a1AGCC92w,4,2012-08-05,"Pretty fun place to eat, with lots of reasonably priced choices.  All that house-made soda is a big bonus, too.

The staff all were very friendly and attentive, at one point the manager stopped by my party to ensure everything was going well.

I would recommend this restaurant, I will eat here again.",review,zORdAIouXrGO1yU4sIMweg
"{'funny': 0, 'useful': 0, 'cool': 0}",Lx5GarMHaunVXuktSJ7ydg,ileD9BR3PHGWBteLnxUVaA,5,2010-03-09,"My absolute favorite club in the world. As far as clubbing goes, I always figured, been there, done that, they're all essentially the same. That is, until I came to XS. It truly is excessive in every sense of the word. 
The space is HUGE and opens up into an outdoor area that is even grander and houses a large swimming pool in the center. There are private cabanas for those who want a little privacy~ although I feel like that defeats the whole purpose of being out and about and getting dolled up. For those who really came to gamble but want to stay in the same playing field as their friends, XS has blackjack tables outside as well, albeit higher limits than inside the casino. 
In the summer, my girls and I kicked off our shoes and sloshed our aching feet in the shallow end of the pool where they have lounging chairs IN the water. Every time they played my jam, we'd jump up and just dance in the water along with everyone else standing in the pool. 
Most inventive and FUN club ever.",review,Es300Ys1XXPYg8aI7BKVYQ
"{'funny': 0, 'useful': 1, 'cool': 1}",P_ytEoYJSLVrhcDvvJIbzg,D_b8kB5NRqZLfNPUe3EKLw,3,2012-12-09,"Great coffee house, although they don't have a big selection of coffee. They service wraps and sandwiches. Some pastries. Great place to read a book, do homework, and lounge. They do however, close very early. I believe 7pm. That's pretty early for Vegas, no? oh they have free wifi for customers",review,HgWv_Tb1vlz-iMQAQ2OhuA
"{'funny': 0, 'useful': 0, 'cool': 0}",MI76B2xNe_eb1V9SZ7K8FA,XJvusdOx1uZ7-DPDHEUtJg,4,2012-01-25,"It is quite surprising to see this Korean restaurant in Chinatown. My initial idea was to eat Chinese food, and all Chinese restaurants were full of Chinese, who are enjoying the Lunar New year. We just passed this eatery, and decided to walk in. We ordered some beef and tofu noodle soup, and the food was tasteful and it was a bit pricey.",review,vQo_kFaVjVa9H_nhRCz-Dw
"{'funny': 0, 'useful': 1, 'cool': 1}",915rqw8vcw-iNpXkY4nSVg,QFHidlZjy0gGRCWHgvxSzA,5,2013-06-29,"Growing up in Florida I've developed a rule to not eat seafood in a landlocked area.  A friend convinced me to break my rule and just give it a try last summer.  I've been been hooked ever since!  

The rolls are just as creative as the names.  Have you ever had a roll wrapped in thinly sliced apple?  Or how about tempura shrimp with banana?  Exactly!  Forget your rules.  Maybe it's time to plan another road trip?",review,tQQxehL2ZVGp7MqAxtSU_g
"{'funny': 1, 'useful': 1, 'cool': 1}",cPss0pSsbN8L6TKvCjxG6Q,C5-HXsaZoRRSkw8NjUZVBw,3,2014-04-03,"I am a very critical when it comes to Japanese curry. I love Japanese curry, but I feel very loyal to Curry house so I compare everything to Curry house.

I came here with my friends for a late lunch while we were in Vegas. I got the spiciest level of curry here. I love spicy food. It was a good spice level. 

I got the standard chicken katsu curry. Portions are pretty big here.  it was pretty good, but the flavor of the curry was okay.",review,BVCDPqlHMDPLWn9EhdDXNg
"{'funny': 0, 'useful': 0, 'cool': 0}",tbu7vFG4Wr6DfiTSlFj-UA,5npEf8nhw1S-Q4jRJMJHEA,2,2014-05-27,"When you walk in all they see is dollar signs. They constantly try to up charge every little thing then make you feel like an unfit pet owner when you decline. My dog had a cancerous tumor removed in January 2014 and came back in May for an unrelated hematoma in her ear. For us to proceed with hematoma surgery the dr tried to insist we get 210 x rays done. She then also said we should biopsy another ""growth"" that was in face just the surgery spot from January where she left a lump at suture spot. Then when we let them know we would complete surgery and go to another vet, a mysterious $6 unpaid charge from January occurred even though I pay all my bills in full. Bad accounting, a dr that quite frankly only seems half there (kept calling my female dog a he)....",review,jNuVT5tobPHEAFTp5clyPw
"{'funny': 1, 'useful': 0, 'cool': 0}",RK6GAHvIDfBkswwYXo41_A,lDk9mn2Oh6UDxFK8Ubw4iw,3,2013-08-25,"Great buffet and great service.  We never had an empty glass and the server was cheery and very polite.  Desserts were plenty but was so so.  They didn't have fresh bananas on hand for the crepes nor did they have nutella.  However, the pastry chef found a way to get me a fresh banana which was nice.  I went here for my bday dinner and I would have to say it was worth it.  Prime rib was good, cheeses and cuts of meat were decent.  i was mostly here for the king crab legs which I was craving badly and had to have some pronto.  Only disappointment was they didn't have king crab it was the smaller version.   Oh well its probably not in season but  I guess it sufficed beacuse it calmed my crusteacian cravings.  PRime rib was also good and they had fresh horseradish sauce.  Im glad we came here but I think I am still in love with Bacannal.",review,YNQgak-ZLtYJQxlDwN-qIg
"{'funny': 4, 'useful': 1, 'cool': 2}",IkDnVdIo3akeYLfTrIJK7g,cz8cMWDZC8y5bcUkakij-A,5,2013-11-12,"You might ask yourself, is there an easy way that I can kill myself while I'm in Scotland? Well look no further folks, because this 822 foot hill has everything you'd want if you're a bit out of shape: slightly steep inclines, sharp dropoffs, the occasional false hill where you can go off track and curse at yourself and others in your party as you head back down to get on the right path.*

It's easily approached from Holyrood House. We started a bit late in the day, so the chill and wind had picked up by the time we reached the summit. It was totally, completely worth it. I looked out at the North Sea, at Edinburgh below, at my awesome wife and wonderful friends who had encouraged my fat ass to keep moving up the hill, and I experienced what I can honestly say is one of the happiest moments of my life. Just climb the damn thing and enjoy that view.

One small disclaimer: As I understood it from our B&B owner, ""Arthur's Seat"" is so named because of one of the most honest historical legends I've ever heard: People started calling it that one day, and it stuck. No connection to any made-up famous historical people, and believe me, after a week in the UK you can start to find that refreshing. So don't expect any major historical or archaeological features up there. You won't need them anyway.

* For the record, it's easy to tell which one is Arthur's Seat. It's the tallest one, with the people who look impossibly small from where you are at the base.",review,MdrFgxQCmEU1HZXsFtAwlA
"{'funny': 0, 'useful': 1, 'cool': 0}",M7AH16ag_GIYuHN51Rw-oA,j-eyb426SocTDgtGzihb_g,4,2010-10-17,This place has great Italian Beef. Definitely get the Giardiera sauce. The owner running the place is really in top of things and brings an east coast flare. I'll be back for sure!  We got the Brownoli to go (Brownies stuffed with Canoli Cream filling).  AWESOME!!,review,X5ym_bvxZYMpe2ovDKWV7w
"{'funny': 1, 'useful': 2, 'cool': 0}",pv4tEaSarxrj_yEertQiyA,yLyxnYQ0_cbha6EqrjOsBA,5,2013-01-06,"I've been using this CVS for 3 years now as my pharmacy. I've never had any issues, they're very prompt on when they say they'll have my medications ready and will call in advance to let me know they're out of stock and will need to get my Rx from another location.
I love love LOVE the texting option to let you know when your Rx is ready to be picked up and I love the fact they call when an Rx is needed to be refilled.
Awesome staff!",review,EYa0E0a7Hge5AbZz8xV1Nw
"{'funny': 3, 'useful': 4, 'cool': 2}",NSPP7lHF_jIBt4yf8RyHPA,2ZcCXKlxszAEjuhjRApOTw,4,2011-09-29,"I've been clubbing plenty of times but this was my first time clubbing in Vegas and our first club of the weekend!

One of our friends put us on the guestlist for PURE and told us to get there early, around 10ish. Let me just say that Caesar's Palace is not cell phone friendly, and it's definitely not pager friendly! After finally finding our friends, we were stuck in not a line, but a huge mass of people. With 30+ people on our guestlist, I was worried we wouldn't get in but we all made it - they let us all in for free, even the guys! 

I'm not gonna lie, I was expecting a little more decor wise out of PURE. The main room is nice - huge dancefloor and I liked the all-white theme, however the other rooms were not up to parr with the main room. One of our friends mentioned that they have an amazing rooftop view, so we stayed up there the whole night. Perfect night for being up there!

I LOVED the rooftop and this is definitely the best part of this club - and the major reason why PURE gets 4 stars. There was a a huge bar and also enough space to dance. The bathroom on the roof was really clean and big - loved that they had hairspray, lotion and even perfume to freshen up!

Music was Top 40 and dance music. JLO was apparently there at some point, haha.

I'd definitely come back here again, I had so much fun!",review,f3EcPjqKftEznBSs2oQVRg
"{'funny': 0, 'useful': 2, 'cool': 1}",5RuEn7IONyVuvrOimjFSZA,W9Y3d5h0_eDIfBUUkwLGZA,4,2007-10-29,"I dined at Caffe Portobello on Saturday night. I brought a date, and we both enjoyed the experience. 

CP is tucked away in a strip mall next to a salon and a dentist's office. Don't let the surrondings fool you. It is a cozy spot. The wall are a warm red and the lighting is low. Seating options include table/chairs, booths and the bar. There was one large screen TV featuring the World Series. Patio seating is available, and the circular bar is half-inside half-outside so that all parties can get served.

Also, there is live music at night from Thursday through Sunday.

The menu offers a diverse selection of American fare. We had the Chicken Marsala and Chop Salad. They were both good, but not great. I've heard the sliders are incredible. 

The setting was 5 stars, the food was 3 stars. I averaged it out to 4 stars. :)",review,FN_iNrt1Q7kHeVEe38yVGA
"{'funny': 0, 'useful': 2, 'cool': 1}",0XqiKDV9W_VpTEkERWsTog,T3tyJ8cDyAf2yXkXzZyooA,5,2011-05-21,"I donate here all of the time, but this time I actually dropped off something I was not supposed to drop off. Yikes! A week has passed, but I thought I'd give it a shot and see if I could get it back. Josh, one of the guys in the unloading dept., was very helpful. He even talked to the manager for me. Thank you so much Josh!",review,qkeRXUvbFKDHMELa24G8LQ
"{'funny': 4, 'useful': 2, 'cool': 6}",ZQZBXNBVUioiYj5_EO5Ytg,m1DQ8GqyRq1x6VRzaccVDw,2,2008-01-27,"Points for being independent and struggling to fight the nasty chains that plague our city. But c'mon. The food really is pretty ordinary. I challenge anyone to say it's unique or tasty. And more importantly, service is *always* important. It's NOT cool to be that laid back. Maybe on a beach in Thailand but not when trying to run an eatery in Central Phoenix. Gordon Ramsey would have a field day.",review,zmFc8M-hS4uuyY0hklIpoQ
"{'funny': 0, 'useful': 0, 'cool': 0}",Yco-QILrszqpXvBatueSrg,EFGn44eK4webYoEClf_KRQ,4,2013-06-24,"Found this place doing my research on Yelp for a cool place to grab a meal.  

If you're in the area - GO to this place!  The person helping us was exceptionally helpful.  I walked in, went up to the counter and said I had never been there and what do they recommend.  Jerk chicken and Red chicken were the choices, so I ordered both.  

The chicken was cooked perfectly and spicy (Jerk chicken anyway).  

The rice, beans, every thing was really good.  I will be back.

Found this online about the place:  http://www.youtube.com/watch?v=86kjMk63PLY",review,Zx8_4zKdDBSO3qGrkukBIA
"{'funny': 0, 'useful': 0, 'cool': 0}",zYqi9WxCQ12ga70nacUKRA,Ostbkghav7Eab0oouiF-0A,5,2012-01-18,"While visiting The Valley last weekend (1/12-1/15/12) we hoped to find a centrally located restaurant that served good meat, a drink and 'quiet'. What a pleasant surprised Dillons on Central proved to be.  6 of us ordered drinks, appetizers and a variety of meat dishes.  Wow - great pulled pork, super service and a check that didn't break the bank.  The 'silent' movies showing on the screen in the dining made for a good joke, any more dining out can be a giant noisy experience.  Not last weekend at Dillons. I'll be back!",review,EUr0vtwmoeKo3uWYxxUFiQ
"{'funny': 1, 'useful': 3, 'cool': 2}",ZmIgP4U4Ht9CYmNX0_zP6w,5LHOy9LK-Dxw2WxrqnNSdw,5,2010-02-16,"Friday nights are usually laid back, chill nights.  It's also pizza night at our house.  My daughter loves black olive pizza.  Barro""s is one of the few places that offer individual pizzas and deliver.  Me, I am more of a pepperoni fan so my daughter gets what she likes and I get what I like. This is not thin, New York style pizza.  The crust is substansial but not thick.  Their small house salad is very good too.  Everything has always been fresh and hot when it was delivered and in less time than they stated when I ordered.  Their customer service has always been good and I rarely have had to wait on the phone when I have called on a Friday night.  That is aces in my book since, by Friday night, all I really want to do is sleep.",review,NzmTnhKa17kZbuc-M0u41w
"{'funny': 0, 'useful': 0, 'cool': 0}",eEVVKWD6BmcpTj1_EpT2sg,KA0sy11L3LY8DfZzFjKK5g,2,2012-01-11,"On a last minute invite, I had the good fortune of being invited to Razz's four-course prix fixe New Year's Eve dinner by a fellow Scottsdale foodie and Yelper. I looked at the menu, and my heart skipped a beat or two. Yes, please! 

Yet the promise of a mouthwatering French/Cajun meal, was disappointing--especially for a meal for two that totaled nearly $200 without alcohol. My starter, a king crab/shrimp cocktail was standard to say the least. Two prawns and a tiny piece of king crab. Really? The soup course consisted of a vegetable lobster soup. I was expecting any bisque (my mistake), but it was a tomato based seafood broth that actually lacked any real meat. I'm not one to shy away from the salt, but it ""tasted like the ocean,"" as a fellow dinner commented. I actually think my tongue was numb after eating half the bowl (couldn't take any more than that). My entree was a bouillabaisse which I truly believe used the SAME exact broth as my soup course. Some of the shellfish were nicely done, but overall the fish was overcooked, and so ""fishy"" that I couldn't finish the plate. As a dessert, I chose the fruit and nut roll, which was a combination of baklava and an egg roll. Eh, for a french restaurant they could have upped the game. 

While overall I felt the food was uninspired, and I truly made some ordering errors, the greatest crime of the night was the service. The waiter was visibly annoyed when I failed to order a glass of water after pursuing the wine menu--sorry, but nothing struck my fancy.  I asked for recommendations for a combination of choices that would ""flow"" nicely. His response? ""Just order whatever sounds good. I don't know what would work well together.""  After I received my soup course I realized that it was JUST LIKE a bouillabaisse broth and quickly requested to change my entree. Nope--already cooking. I'm sorry, but that's unacceptable. He NEVER once returned to check on our entree or dessert course. 

In fact, we didn't see him again until the bill came--which was a complete disaster. Six couples attended the dinner. After finishing the meal, the server returned to drop the bill. Apparently they don't split checks. I understand the added challenge of splitting a check, but if that's your standard policy write it clearly on the menu, or let us know before the meal is served. When we brought this issue to the server's attention, he commented, ""Well you should have asked."" I'm sorry my friend, you should have told us. The manager provided little more assistance. Eventually, it was agreed that we would all mark our orders on the bill so they would know how much to charge each credit card. Forty five minutes later we were on our way. I guess good service isn't required when they automatically add an 18% gratuity. I'm not cheap tipper, but I do expect some level of service. Razz's failed on every occasion. 

In all fairness, some of my dining companions did have memorable meals. The lamb was succulent, the escargot had a creaminess that is the hallmark of perfect cooking, and the lobster crab cake in a pear/curry sauce took the award for best and most innovative dish of the night. 

While there were some culinary high notes, I can assure you that I will not be returning to Razz's anytime soon.",review,7lp13T_FUmX1XjU2wen_qw
"{'funny': 0, 'useful': 0, 'cool': 0}",uBs6-zbx2OWAeoqqn66ksg,B9NND2cGVoFcxZc1Mf2xNQ,2,2010-06-03,"Went to Vegas over Memorial Weekend and my friends and I did the buffet deal where you pay $34.99 (ended up being around $43.00 after everything) where you can go to any of the 7? specified buffets in Vegas however many times you want within a 24-hour period. We made it suffice for 3 meals!

Rio was our last buffet before our buffet pass expired, and before we were leaving Vegas. The buffet was HUGE with all kinds of ""international"" variety which definitely made it more interesting. 

Some notable features:
- Custom stir fry station
- Hand scooped gelato at the dessert station! Definitely try the Cookies'n'Creme, Strawberry, Mango and Orange (the last two might depend on individual taste palettes) 

Plates are a lot smaller than the other two buffets we went to - while it isn't really a problem, it leads to more trips to the buffet which would be a little inconvenient if you were seated at one end of the buffet and were coming back from the other end.",review,ngNvH4sxnH9aMukTZ67R_Q
"{'funny': 0, 'useful': 0, 'cool': 0}",L_T3vdVTC8fAL8cT3NhyqQ,cIHdDp-7LpkhG5CzJKIxWw,4,2011-04-12,"Oh you fancy, huh? 

1 word: Fantastic!!  I am in love with this hotel, its so glamorous and rad. 

the glittery chandeliers all over the place, the different artwork & sculptures, the futuristic touches & the throwback vintage furniture.  it has it all!!  
the restaurants were great, nothing totally out of the ordinary tho, nothing adventurous-food wise.  but good quality food. 

the chelsea is kinda dumb only bc the bathrooms areint in the venue, they are outside of it and a ways away.  so during the black keys shows i had to miss out on a good couple songs bc of the trek to use the loo.  (only reason they get 4 stars) 

other than that, service was good, food was good, decor was fantastic, odds were fantastic.  me gusta!",review,AtjsjFzalWqJ7S9DUFQ4bw
"{'funny': 0, 'useful': 0, 'cool': 0}",KzV5qjAQfkA5r3WiMDCUZw,EEQ4_WkP0W-yvUaNK2WLHQ,5,2013-04-30,I love living here.  Sure there are newer apartments in the area but Broadstone Talavera has a nice feeling.  The apartments are well appointed and if you have any issued maintenance is there almost instantly.  Very impressive.  Since Nikki has become the manager of this property it has improved tremendously.  She is on a mission and she is doing a fantastic job.  Sure...in any apartment complex there are going to be issues here and there with the tenants but they do have a very good security team you can call and they will assist you if your being disturbed in any way.  The leasing agents Genesis and Tanzy are super sweet and helpful.  I reccomend this place!!,review,0u62IELrP4-zvQwhQXa-pA
